         225814160 function calls (225218092 primitive calls) in 393.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1750000   32.417    0.000   91.256    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/_functional_tensor.py:903(normalize)
  1750000   22.593    0.000  332.574    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/datasets/mnist.py:131(__getitem__)
  1750000   19.972    0.000  138.189    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/functional.py:127(to_tensor)
  3500000   18.718    0.000   18.718    0.000 {built-in method torch.as_tensor}
  1750000   17.543    0.000   17.543    0.000 {method 'div' of 'torch._C.TensorBase' objects}
  5263800   14.833    0.000   14.833    0.000 {method 'view' of 'torch._C.TensorBase' objects}
  1750000   12.644    0.000   12.644    0.000 {method 'to' of 'torch._C.TensorBase' objects}
  1750000   12.417    0.000   49.535    0.000 {built-in method numpy.array}
    11800   11.636    0.001   11.636    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
  1750000   10.662    0.000   39.428    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:3219(fromarray)
  1750000    9.619    0.000   27.298    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:772(tobytes)
  1750000    8.848    0.000    8.848    0.000 {method 'any' of 'torch._C.TensorBase' objects}
  1750000    7.938    0.000    7.938    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
  1750400    7.779    0.000    7.779    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
  1750000    7.662    0.000  107.345    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/functional.py:327(normalize)
  3500000    7.029    0.000   11.960    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/utils.py:612(_log_api_usage_once)
  1750000    6.774    0.000    6.774    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
  1750000    6.661    0.000    6.661    0.000 {method 'sub_' of 'torch._C.TensorBase' objects}
  3500000    5.499    0.000    8.336    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:571(_new)
  1750000    5.414    0.000    5.414    0.000 {method 'div_' of 'torch._C.TensorBase' objects}
  1750000    4.775    0.000    6.753    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:449(_getencoder)
  1750000    4.727    0.000   28.072    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/Image.py:3151(frombuffer)
  1750000    4.722    0.000    4.722    0.000 {built-in method torch.from_numpy}
  1750000    4.261    0.000  142.451    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/transforms.py:129(__call__)
  1750000    4.206    0.000  262.616    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/transforms/transforms.py:93(__call__)
